timestamp,user,text,toxic_labels,stt_time,ai_time,latency_ms,user_count
2026-02-14 20:20:03,D1,Start what an excellent article congratulations.,SAFE,555.95,64.40,620.36,3
2026-02-14 20:20:14,D2,Brief test to talk contracts count.,SAFE,537.59,40.01,577.61,3
2026-02-14 20:20:24,D1,People are interested in youth football.,SAFE,558.58,61.30,619.87,3
2026-02-14 20:20:34,D2,"Thanks for the clarification, Cheers.",SAFE,521.64,41.67,563.31,3
2026-02-14 20:20:45,D1,Redirect talk MiGMAK hieroglyphic writing.,SAFE,534.84,39.42,574.26,3
2026-02-14 20:20:56,D2,Which adheres to the subject matter?,SAFE,514.05,40.85,554.90,3
2026-02-14 20:21:05,D1,"My talk, my country.",SAFE,522.21,38.02,560.23,3
2026-02-14 20:21:15,D1,You've been found out Walter.,SAFE,518.23,40.78,559.02,3
2026-02-14 20:21:26,D1,Unless you believe the Off-Theory in legend.,SAFE,521.22,43.35,564.57,3
2026-02-14 20:21:36,D1,Talk back changes.,SAFE,1445.41,34.21,1479.61,3
2026-02-14 20:21:44,D1,Will you be my friend?,SAFE,508.49,38.64,547.13,3
2026-02-14 20:21:54,D1,Down the scientific name.,SAFE,511.91,40.17,552.08,3
2026-02-14 20:22:04,D1,"Good bye, biosted administrator.",SAFE,772.10,44.65,816.75,3
2026-02-14 20:22:13,D1,"You so wise, thanks.",SAFE,517.95,39.28,557.23,3
2026-02-14 20:22:24,D1,opinion noted,SAFE,1663.07,36.48,1699.55,3
2026-02-14 20:22:33,D1,I suspect that closed mouth is dry.,SAFE,490.14,39.14,529.28,3
2026-02-14 20:22:45,D1,"Look, blatant anti-remaniac remark anti-remaniac remark.",SAFE,550.01,51.67,601.68,3
2026-02-14 20:22:56,D1,redirect to update your rail accident.,SAFE,728.92,44.78,773.70,3
2026-02-14 20:23:07,D1,On Velasquez Velasquez was mentioned.,SAFE,513.28,37.39,550.67,3
2026-02-14 20:23:17,D1,Redirect talk technical rock band.,SAFE,509.19,36.50,545.70,3
2026-02-14 20:23:27,D1,"It is there, Donit.",SAFE,509.59,34.59,544.17,3
2026-02-14 20:23:36,D1,Appeal to unblock.,SAFE,476.88,41.54,518.43,3
2026-02-14 20:23:44,D1,Happy Easter!,SAFE,514.17,39.66,553.83,3
2026-02-14 20:23:54,D1,"That's my intention, Maisam.",SAFE,488.74,39.14,527.88,3
2026-02-14 20:24:05,D1,redirect talk Somerset Bridalwood,SAFE,505.82,38.27,544.09,3
2026-02-14 20:24:14,D1,"Nothing to see here, move along.",SAFE,607.53,40.27,647.80,3
2026-02-14 20:24:24,D1,The plant saw after himself.,SAFE,490.18,45.27,535.46,3
2026-02-14 20:24:34,D1,Unblocky didn't edit anything today.,SAFE,566.64,44.19,610.83,3
2026-02-14 20:24:44,D1,"Talk back, let's talk about it.",SAFE,604.02,46.84,650.86,3
2026-02-14 20:24:54,D1,How to remove Wahhabi propaganda by?,SAFE,579.75,43.01,622.76,3
2026-02-14 20:25:03,D1,"Yes, that's right.",SAFE,548.34,42.64,590.98,3
2026-02-14 20:25:13,D1,Listers heart is a lonely hunter.,SAFE,522.94,46.16,569.10,3
2026-02-14 20:25:24,D1,Course hair approval rating to slip.,SAFE,478.49,42.92,521.41,3
2026-02-14 20:25:34,D1,Testing user page,SAFE,506.81,37.94,544.75,3
2026-02-14 20:25:44,D1,"However, he deleted his comments.",SAFE,516.78,40.15,556.93,3
2026-02-14 20:25:55,D1,What does kiss stand for?,SAFE,537.75,37.95,575.69,3
2026-02-14 20:26:04,D1,I mean that about stop.,SAFE,515.92,35.28,551.20,3
2026-02-14 20:26:13,D1,This is quite sensible.,SAFE,498.96,43.71,542.68,3
2026-02-14 20:26:23,D1,If it doesn't get lifted.,SAFE,518.49,39.39,557.89,3
2026-02-14 20:26:34,D1,Redirect to ArcShane Goodratt newspaper Pakistan,SAFE,558.25,40.44,598.69,3
2026-02-14 20:26:44,D1,I think that's a good solution.,SAFE,524.53,42.70,567.23,3
2026-02-14 20:26:54,D1,Stop messing with my article.,SAFE,530.15,39.11,569.25,3
2026-02-14 20:27:03,D1,The list would be great.,SAFE,538.37,38.40,576.77,3
2026-02-14 20:27:13,D1,My sentiment exactly.,SAFE,522.31,38.92,561.22,3
2026-02-14 20:27:24,D1,"Redirect talk lake forest Knoxville, Tennessee.",SAFE,505.26,37.67,542.92,3
2026-02-14 20:27:34,D1,"Okay, thanks Phil Socks.",SAFE,483.73,41.23,524.97,3
2026-02-14 20:27:43,D1,Welcome happy editing.,SAFE,510.98,38.97,549.96,3
2026-02-14 20:27:52,D1,Agreed removed.,SAFE,504.69,36.52,541.21,3
2026-02-14 20:28:03,D1,Reply to user talk Tashi O Yamaguchi question.,SAFE,554.12,39.52,593.64,3
2026-02-14 20:28:19,D1,"Same for this 16,613,724,020.",SAFE,585.83,43.54,629.37,3
2026-02-14 20:28:28,D1,Because I am a huge faggot.,toxic,522.94,44.09,567.03,3
2026-02-14 20:28:38,D1,"Cowardly Croug, German.",SAFE,523.03,36.97,559.99,3
2026-02-14 20:28:48,D1,I'm a huge ass and lummier.,toxic,502.36,45.06,547.42,3
2026-02-14 20:40:51,D1,Yes.,SAFE,1274.21,44.94,1319.15,2
2026-02-14 20:41:37,D1,"Hi, you fucking idiot.",toxic,476.17,45.27,521.44,2
2026-02-14 20:41:48,D1,"Fuck you bastard, T-U-R-D.",toxic,602.08,44.45,646.53,2
2026-02-14 20:41:57,D1,Glaze injour corporation piss off.,toxic,531.91,43.72,575.63,2
2026-02-14 20:42:08,D1,"Anonymous, you gay afambro, fuck you.",toxic,558.29,46.76,605.05,2
2026-02-14 20:42:18,D1,"L-M-A-O, your maleness.",toxic,539.14,39.40,578.54,2
2026-02-14 20:42:29,D1,Dipshit it's spelled vandalism retard.,toxic,544.79,44.37,589.16,2
2026-02-14 20:42:40,D1,"Delete my 200 articles, war.",SAFE,503.85,43.18,547.03,2
2026-02-14 20:42:53,D1,PPPPSSSSSHHH Haha Funny I should,SAFE,521.64,39.20,560.84,2
2026-02-14 20:43:02,D1,Low guess what you're a faggot.,toxic,530.12,48.16,578.28,2
2026-02-14 20:43:14,D1,Replying to above simply putonus.,SAFE,1811.94,41.55,1853.49,2
2026-02-14 20:43:22,D1,"A here, B is a loser.",toxic,516.06,42.57,558.62,2
2026-02-14 20:43:32,D1,"Fuck you fuck you, Denishanist.",toxic,585.82,43.78,629.60,2
2026-02-14 20:43:42,D1,Go away racists not wanted.,SAFE,501.91,45.95,547.85,2
2026-02-14 20:43:52,D1,"No, I don't care, you bitch.",toxic,522.01,45.56,567.57,2
2026-02-14 20:44:01,D1,"Tuck, Lucy is a fucker.",toxic,560.88,36.96,597.84,2
2026-02-14 20:44:12,D1,"Gimbal whale, stupid.",toxic,1699.23,39.99,1739.22,2
2026-02-14 20:44:21,D1,Bloody Hallid continues.,SAFE,1513.56,40.45,1554.01,2
2026-02-14 20:44:30,D1,"Phil Knight, why don't you die?",toxic,516.67,40.17,556.85,2
2026-02-14 20:44:39,D1,Cody is fucking awesome.,toxic,491.37,41.39,532.76,2
2026-02-14 20:44:50,D1,You are a fucking retard.,toxic,514.98,39.66,554.64,2
2026-02-14 20:45:00,D1,"Spit hole 1, you suck, spit holes.",toxic,505.13,40.05,545.18,2
2026-02-14 20:45:10,D1,"Yes, you are a wanker.",toxic,543.93,45.22,589.15,2
2026-02-14 20:45:19,D1,Bunch of cockfag douche bags.,toxic,542.98,44.17,587.15,2
2026-02-14 20:45:29,D1,Read the source idiot.,toxic,502.07,37.53,539.60,2
2026-02-14 20:45:39,D1,"The less come, you are a stupid motherfucker.",toxic,555.90,47.21,603.10,2
2026-02-14 20:45:50,D1,Who is the best wakeboard a motherfucker?,toxic,549.74,47.46,597.20,2
2026-02-14 20:45:59,D1,"Yeah that me, fake scholar.",SAFE,513.71,41.40,555.11,2
2026-02-14 20:46:08,D1,"Yo man, you're pissing me off.",toxic,496.02,54.36,550.39,2
2026-02-14 20:46:18,D1,Herbed for life bitch.,toxic,508.99,42.98,551.97,2
2026-02-14 20:46:28,D1,I humped Shadow Jam's mum.,toxic,513.85,42.18,556.03,2
2026-02-14 20:46:37,D1,"Well, you are a proper cunt.",toxic,508.05,41.92,549.97,2
2026-02-14 20:46:48,D1,"Go come on a dildo, Wankback.",toxic,554.52,58.05,612.58,2
2026-02-14 20:46:57,D1,You all are complete retards.,toxic,520.62,41.15,561.77,2
2026-02-14 20:47:07,D1,Mindy-o damn business.,toxic,500.82,47.23,548.05,2
2026-02-14 20:47:16,D1,P.S. You're a bitch.,toxic,511.18,39.88,551.06,2
2026-02-14 20:47:26,D1,Fucking loser suck a dick.,toxic,480.33,41.70,522.03,2
2026-02-14 20:47:36,D1,Motherfucking and brief pieces of shit.,toxic,515.60,39.96,555.56,2
2026-02-14 20:47:47,D1,masturbating over his brother's dead body.,toxic,500.75,46.20,546.95,2
